U+1F600	😀	嘿嘿 笑脸
U+1F468-200D-1F4BB	👨‍💻	男程序员 程序员 开发人员 技术员 男开发人员 男技术员 男码农 男码畜
U+1F469-200D-1F4BB	👩‍💻	女程序员 程序员 女开发人员 女技术员 女码农 女码畜
U+1F9D1-200D-1F3A4	🧑‍🎤	歌手
U+1F468-200D-1F3A4	👨‍🎤	男歌手 歌手 摇滚歌手 摇滚男歌手 朋克 男摇滚歌手 重金属
U+1F469-200D-1F3A4	👩‍🎤	女歌手 歌手 女摇滚歌手 摇滚女歌手 朋克 重金属
U+1F9D1-200D-1F3A8	🧑‍🎨	艺术家
U+1F468-200D-1F3A8	👨‍🎨	男艺术家 艺术家 漫画家 男漫画家 男画家
U+1F469-200D-1F3A8	👩‍🎨	女艺术家艺术家 女漫画家 女画家 女艺术家
U+1F9D1-200D-2708-FE0F	🧑‍✈️	飞行员
U+1F468-200D-2708-FE0F	👨‍✈️	男飞行员 飞行员
U+1F469-200D-2708-FE0F	👩‍✈️	女飞行员 飞行员
U+1F9D1-200D-1F680	🧑‍🚀	宇航员
U+1F468-200D-1F680	👨‍🚀	男宇航员 宇航员
U+1F469-200D-1F680	👩‍🚀	女宇航员 宇航员
U+1F9D1-200D-1F692	🧑‍🚒	消防员
U+1F468-200D-1F692	👨‍🚒	男消防员 消防员
U+1F469-200D-1F692	👩‍🚒	女消防员 消防员
U+1F46E	👮	警察 警官
U+1F46E-200D-2642-FE0F	👮‍♂️	男警察 警察 男警官
U+1F46E-200D-2640-FE0F	👮‍♀️	女警察 警察 女警官
U+1F575	🕵	侦探 间谍
U+1F575-FE0F-200D-2642-FE0F	🕵️‍♂️	男侦探 侦探
U+1F575-FE0F-200D-2640-FE0F	🕵️‍♀️	女侦探 侦探
U+1F482	💂	卫兵 卫士 守卫
U+1F482-200D-2642-FE0F	💂‍♂️	男卫兵 卫兵 男卫士
U+1F482-200D-2640-FE0F	💂‍♀️	女卫兵 卫兵 女卫士
U+1F977	🥷	忍者 忍术
U+1F477	👷	建筑工人 建筑
U+1F477-200D-2642-FE0F	👷‍♂️	男建筑工人 建筑工人 农民工 建筑工 男农民工 男工人 男建筑工
U+1F477-200D-2640-FE0F	👷‍♀️	女建筑工人 建筑工人 农民工 女农民工 女工人 女建筑工
U+1FAC5	🫅	戴王冠的人 王冠 君主
U+1F934	🤴	王子 王冠 国王 小王子
U+1F478	👸	公主 王冠 女王 女皇 小公主 皇冠 童话
U+1F473	👳	戴头巾的人 头巾
U+1F473-200D-2642-FE0F	👳‍♂️	戴头巾的男人 头巾 戴头巾 戴头巾的人
U+1F473-200D-2640-FE0F	👳‍♀️	戴头巾的女人 头巾 戴头巾 戴头巾的人
U+1F472	👲	戴瓜皮帽的人 瓜皮帽 中国帽 地主
U+1F9D5	🧕	带头饰的女人 头饰 头巾 穆斯林
U+1F935	🤵	穿燕尾服的人 燕尾服 新郎
U+1F935-200D-2642-FE0F	🤵‍♂️	穿礼服的男人 礼服 新郎 燕尾服 西服 西装
U+1F935-200D-2640-FE0F	🤵‍♀️	穿礼服的女人 礼服 女新郎
U+1F470	👰	戴头纱的人 头纱 新娘
U+1F470-200D-2642-FE0F	👰‍♂️	戴头纱的男人 头纱 男新娘
U+1F470-200D-2640-FE0F	👰‍♀️	戴头纱的女人 头纱 婚纱 戴头纱的人 新娘 新娘子
U+1F930	🤰	孕妇 怀孕 大肚子 孕肚 怀了
U+1FAC3	🫃	怀孕的男人 怀孕 啤酒肚 大肚子 将军肚 男人怀孕
U+1FAC4	🫄	怀孕的人 怀孕
U+1F931	🤱	母乳喂养 哺乳 乳房 喂奶 母乳
U+1F469-200D-1F37C	👩‍🍼	哺乳的女人 哺乳 奶妈
U+1F468-200D-1F37C	👨‍🍼	哺乳的男人 哺乳 奶爸
U+1F9D1-200D-1F37C	🧑‍🍼	哺乳的人 哺乳
U+1F47C	👼	小天使 天使 天使宝宝 孩子
U+1F385	🎅	圣诞老人 圣诞
U+1F936	🤶	圣诞奶奶 圣诞 圣诞夫人 老妈
U+1F9D1-200D-1F384	🧑‍🎄	圣诞人 圣诞
U+1F9B8	🦸	超级英雄 超能力
U+1F9B8-200D-2642-FE0F	🦸‍♂️	男超级英雄 超级英雄 男超人
U+1F9B8-200D-2640-FE0F	🦸‍♀️	女超级英雄 超级英雄 女超人
U+1F9B9	🦹	超级大坏蛋 坏蛋 恶魔 罪犯 超能力
U+1F9B9-200D-2642-FE0F	🦹‍♂️	男超级大坏蛋 坏蛋 反派 大反派 男反派 男坏蛋 男大反派 男超级大反派
U+1F9B9-200D-2640-FE0F	🦹‍♀️	女超级大坏蛋 坏蛋 反派 大反派 女反派 女坏蛋 女大反派 女超级大反派
U+1F9D9	🧙	法师 女巫 男巫
U+1F9D9-200D-2642-FE0F	🧙‍♂️	男法师 法师 男巫 男魔术师 男魔法师
U+1F9D9-200D-2640-FE0F	🧙‍♀️	女法师 法师 女巫 女魔术师 女魔法师
U+1F9DA	🧚	精灵
U+1F9DA-200D-2642-FE0F	🧚‍♂️	仙人 仙子 妖精 小仙子
U+1F9DA-200D-2640-FE0F	🧚‍♀️	仙女 妖精 小仙女 小仙子
U+1F9DB	🧛	吸血鬼
U+1F9DB-200D-2642-FE0F	🧛‍♂️	男吸血鬼 吸血鬼 德古拉
U+1F9DB-200D-2640-FE0F	🧛‍♀️	女吸血鬼 吸血鬼 德古拉
U+1F9DC	🧜	人鱼 美人鱼 女人鱼 男人鱼
U+1F9DC-200D-2642-FE0F	🧜‍♂️	男人鱼 美人鱼 海王 美男鱼
U+1F9DC-200D-2640-FE0F	🧜‍♀️	美人鱼
U+1F9DD	🧝	小精灵 精灵 魔术
U+1F9DD-200D-2642-FE0F	🧝‍♂️	男小精灵 小精灵 精灵 男精灵 精灵族
U+1F9DD-200D-2640-FE0F	🧝‍♀️	女小精灵 小精灵 精灵 女精灵 精灵族
U+1F9DE	🧞	妖怪 神灵
U+1F9DE-200D-2642-FE0F	🧞‍♂️	男妖怪 妖怪 灯神 男灯神 阿拉丁 阿拉丁神灯
U+1F9DE-200D-2640-FE0F	🧞‍♀️	女妖怪 妖怪 女灯神 阿拉丁 阿拉丁神灯
U+1F9DF	🧟	僵尸
U+1F9DF-200D-2642-FE0F	🧟‍♂️	男僵尸 僵尸 丧尸 男丧尸 男行尸走肉
U+1F9DF-200D-2640-FE0F	🧟‍♀️	女僵尸 僵尸 丧尸 女丧尸 女行尸走肉
U+1F9CC	🧌	穴居巨怪 妖怪
U+1F486	💆	按摩 美容
U+1F486-200D-2642-FE0F	💆‍♂️	男生按摩 按摩
U+1F486-200D-2640-FE0F	💆‍♀️	女生按摩 按摩
U+1F487	💇	理发
U+1F487-200D-2642-FE0F	💇‍♂️	男生理发 理发 做造型 剪发 剪头 剪头发 理头 理头发 美容美发
U+1F487-200D-2640-FE0F	💇‍♀️	女生理发 理发 做造型 剪发 剪头 剪头发 理头 理头发 美容美发
U+1F6B6	🚶	行人 徒步 走 走路
U+1F6B6-200D-2642-FE0F	🚶‍♂️	男行人 行人 行走
U+1F6B6-200D-2640-FE0F	🚶‍♀️	女行人行人 行走
U+1F6B6-200D-27A1-FE0F	🚶‍➡️	朝右走的人 行人
U+1F6B6-200D-2640-FE0F-200D-27A1-FE0F	🚶‍♀️‍➡️	朝右走的女人 行人
U+1F6B6-200D-2642-FE0F-200D-27A1-FE0F	🚶‍♂️‍➡️	朝右走的男人 行人
U+1F9CD	🧍	站立者 站立 站着
U+1F9CD-200D-2642-FE0F	🧍‍♂️	站立的男人 站立 哥哥 弟弟 男仔 站立者
U+1F9CD-200D-2640-FE0F	🧍‍♀️	站立的女人 站立 女仔 妹妹 姐姐 站立者
U+1F9CE	🧎	下跪者 下跪 跪下
U+1F9CE-200D-2642-FE0F	🧎‍♂️	跪下的男人 下跪 跪坐
U+1F9CE-200D-2640-FE0F	🧎‍♀️	跪下的女人 下跪 跪坐
U+1F9CE-200D-27A1-FE0F	🧎‍➡️	朝右跪着的人 下跪
U+1F9CE-200D-2640-FE0F-200D-27A1-FE0F	🧎‍♀️‍➡️	朝右跪着的女人 下跪
U+1F9CE-200D-2642-FE0F-200D-27A1-FE0F	🧎‍♂️‍➡️	朝右跪着的男人 下跪
U+1F9D1-200D-1F9AF	🧑‍🦯	拄盲杖的人 盲人 瞎子
U+1F9D1-200D-1F9AF-200D-27A1-FE0F	🧑‍🦯‍➡️	朝右的拄盲杖的人 盲人 瞎子
U+1F468-200D-1F9AF	👨‍🦯	拄盲杖的男人 盲人 瞎子 拄盲杖的人 拿着白手杖的人
U+1F468-200D-1F9AF-200D-27A1-FE0F	👨‍🦯‍➡️	朝右的拄盲杖的男人 盲人 瞎子
U+1F469-200D-1F9AF	👩‍🦯	拄盲杖的女人 盲人 瞎子 拄盲杖的人 拿着白手杖的人
U+1F469-200D-1F9AF-200D-27A1-FE0F	👩‍🦯‍➡️	朝右的拄盲杖的女人 盲人 瞎子
U+1F9D1-200D-1F9BC	🧑‍🦼	坐电动轮椅的人 盲人 瞎子
U+1F9D1-200D-1F9BC-200D-27A1-FE0F	🧑‍🦼‍➡️	朝右的坐电动轮椅的人 轮椅 残疾
U+1F468-200D-1F9BC	👨‍🦼	坐电动轮椅的男人 轮椅 残疾 坐电动轮椅的人
U+1F468-200D-1F9BC-200D-27A1-FE0F	👨‍🦼‍➡️	朝右的坐电动轮椅的男人 轮椅 残疾
U+1F469-200D-1F9BC	👩‍🦼	坐电动轮椅的女人 轮椅 残疾 坐电动轮椅的人
U+1F469-200D-1F9BC-200D-27A1-FE0F	👩‍🦼‍➡️	朝右的坐电动轮椅的女人 轮椅 残疾
U+1F9D1-200D-1F9BD	🧑‍🦽	坐手动轮椅的人 轮椅 残疾
U+1F9D1-200D-1F9BD-200D-27A1-FE0F	🧑‍🦽‍➡️	朝右的坐手动轮椅的人 轮椅 残疾
U+1F468-200D-1F9BD	👨‍🦽	坐手动轮椅的男人 轮椅 残疾 坐手动轮椅的人
U+1F468-200D-1F9BD-200D-27A1-FE0F	👨‍🦽‍➡️	朝右的坐手动轮椅的男人 轮椅 残疾
U+1F469-200D-1F9BD	👩‍🦽	坐手动轮椅的女人 轮椅 残疾 坐手动轮椅的人
U+1F469-200D-1F9BD-200D-27A1-FE0F	👩‍🦽‍➡️	朝右的坐手动轮椅的女人 轮椅 残疾
U+1F3C3	🏃	跑步者 跑步 跑 马拉松
U+1F3C3-200D-2642-FE0F	🏃‍♂️	男生跑步 跑步 跑步者
U+1F3C3-200D-2640-FE0F	🏃‍♀️	女生跑步 跑步 跑步者
U+1F3C3-200D-27A1-FE0F	🏃‍➡️	朝右跑步的人 跑步
U+1F3C3-200D-2640-FE0F-200D-27A1-FE0F	🏃‍♀️‍➡️	朝右跑步的女人 跑步
U+1F3C3-200D-2642-FE0F-200D-27A1-FE0F	🏃‍♂️‍➡️	朝右跑步的男人 跑步
U+1F483	💃	跳舞的女人 跳舞 舞女
U+1F57A	🕺	跳舞的男人 跳舞 舞者
U+1F574	🕴	西装革履的人 西装 西装革履 商务 正装 浮在地面上的西装男
U+1F46F	👯	戴兔耳朵的人 兔女郎 派对 聚会
U+1F46F-200D-2642-FE0F	👯‍♂️	兔先生 兔女郎 兔耳朵
U+1F46F-200D-2640-FE0F	👯‍♀️	兔女郎 兔耳朵
U+1F9D6	🧖	蒸房里的人 蒸房 汗蒸 桑拿
U+1F9D6-200D-2642-FE0F	🧖‍♂️	蒸房里的男人 蒸房 汗蒸 蒸房里的人 蒸桑拿
U+1F9D6-200D-2640-FE0F	🧖‍♀️	蒸房里的女人 蒸房 汗蒸 蒸房里的人 蒸桑拿
U+1F9D7	🧗	攀爬的人 攀爬 登山
U+1F9D7-200D-2642-FE0F	🧗‍♂️	攀爬的男人 攀爬 攀山 攀岩者 攀爬的人 登山者
U+1F9D7-200D-2640-FE0F	🧗‍♀️	攀爬的女人 攀爬 攀山 攀岩者 攀爬的人 登山者
U+1F93A	🤺	击剑选手 击剑 击剑者 剑斗
U+1F3C7	🏇	赛马 赛马骑师 骑马
U+26F7	⛷	滑雪的人 滑雪
U+1F3C2	🏂	滑雪板 滑雪 单板滑雪
U+1F3CC	🏌	打高尔夫的人 高尔夫
U+1F3CC-FE0F-200D-2642-FE0F	🏌️‍♂️	男生打高尔夫 高尔夫 打高尔夫的人 高尔夫球手
U+1F3CC-FE0F-200D-2640-FE0F	🏌️‍♀️	女生打高尔夫 高尔夫 打高尔夫的人 高尔夫球手
U+1F3C4	🏄	冲浪
U+1F3C4-200D-2642-FE0F	🏄‍♂️	男生冲浪 冲浪 冲浪者
U+1F3C4-200D-2640-FE0F	🏄‍♀️	女生冲浪 冲浪 冲浪者
U+1F6A3	🚣	划艇 划船 皮划艇
U+1F6A3-200D-2642-FE0F	🚣‍♂️	男生划船 划船 划艇 皮划艇 泛舟
U+1F6A3-200D-2640-FE0F	🚣‍♀️	女生划船 划船 划艇 皮划艇 泛舟
U+1F3CA	🏊	游泳 游
U+1F3CA-200D-2642-FE0F	🏊‍♂️	男生游泳 游泳 泳客 游泳者
U+1F3CA-200D-2640-FE0F	🏊‍♀️	女生游泳 游泳 泳客 游泳者
U+26F9	⛹	玩球 打球
U+26F9-FE0F-200D-2642-FE0F	⛹️‍♂️	男生玩球 玩球 打球 打篮球 玩篮球 篮球运动员
U+26F9-FE0F-200D-2640-FE0F	⛹️‍♀️	女生玩球 玩球 打球 打篮球 玩篮球 篮球运动员
U+1F3CB	🏋	举重
U+1F3CB-FE0F-200D-2642-FE0F	🏋️‍♂️	男生举重 举重 举重运动员 男举重运动员
U+1F3CB-FE0F-200D-2640-FE0F	🏋️‍♀️	女生举重 举重 举重运动员 女举重运动员
U+1F6B4	🚴	骑自行车 自行车 骑车
U+1F6B4-200D-2642-FE0F	🚴‍♂️	男生骑自行车 骑自行车 自行车 骑单车
U+1F6B4-200D-2640-FE0F	🚴‍♀️	女生骑自行车 骑自行车 自行车 骑单车
U+1F6B5	🚵	骑山地车 山地车
U+1F6B5-200D-2642-FE0F	🚵‍♂️	男生骑山地车 骑山地车 山地车 山地自行车
U+1F6B5-200D-2640-FE0F	🚵‍♀️	女生骑山地车 骑山地车 山地车 山地自行车
U+1F938	🤸	侧手翻 体操
U+1F938-200D-2642-FE0F	🤸‍♂️	男生侧手翻 侧手翻 翻筋斗 翻跟头
U+1F938-200D-2640-FE0F	🤸‍♀️	女生侧手翻 侧手翻 翻筋斗 翻跟头
U+1F93C	🤼	摔跤选手 摔跤
U+1F93C-200D-2642-FE0F	🤼‍♂️	男生摔跤 摔跤 摔跤选手 格斗
U+1F93C-200D-2640-FE0F	🤼‍♀️	女生摔跤 摔跤 摔跤选手 格斗
U+1F93D	🤽	水球
U+1F93D-200D-2642-FE0F	🤽‍♂️	男生玩水球 水球
U+1F93D-200D-2640-FE0F	🤽‍♀️	女生玩水球 水球
U+1F93E	🤾	手球
U+1F93E-200D-2642-FE0F	🤾‍♂️	男生玩手球 手球 打手球
U+1F93E-200D-2640-FE0F	🤾‍♀️	女生玩手球 手球 打手球
U+1F939	🤹	抛接杂耍 杂耍 平衡 杂技
U+1F939-200D-2642-FE0F	🤹‍♂️	男生抛接杂耍 抛接杂耍 杂耍 抛接
U+1F939-200D-2640-FE0F	🤹‍♀️	女生抛接杂耍 抛接杂耍 杂耍 抛接
U+1F9D8	🧘	盘腿的人 盘腿 冥想 瑜伽
U+1F9D8-200D-2642-FE0F	🧘‍♂️	盘腿的男人 盘腿 全莲花坐 打坐 瑜伽男 莲花坐的人
U+1F9D8-200D-2640-FE0F	🧘‍♀️	盘腿的女人 盘腿 全莲花坐 打坐 瑜伽女 莲花坐的人
U+1F6C0	🛀	洗澡的人 洗澡 泡澡 泡澡的人 浴缸
U+1F6CC	🛌	躺在床上的人 睡觉 入睡 宾馆 床上休息 睡觉的人 晚安
U+1F9D1-200D-1F91D-200D-1F9D1	🧑‍🤝‍🧑	手拉手的两个人 手拉手 牵手
U+1F46D	👭	手拉手的两个女人 手拉手 两个牵手的女人 闺蜜
U+1F46B	👫	手拉手的一男一女 手拉手 情侣 手拉手的情侣 牵手的情侣
U+1F46C	👬	手拉手的两个男人 手拉手 两个牵手的男人 兄弟 基友 好兄弟 好基友
U+1F48F	💏	亲吻 接吻
U+1F469-200D-2764-FE0F-200D-1F48B-200D-1F468	👩‍❤️‍💋‍👨	亲吻
U+1F468-200D-2764-FE0F-200D-1F48B-200D-1F468	👨‍❤️‍💋‍👨	亲吻
U+1F469-200D-2764-FE0F-200D-1F48B-200D-1F469	👩‍❤️‍💋‍👩	亲吻
U+1F491	💑	情侣 恋爱
U+1F469-200D-2764-FE0F-200D-1F468	👩‍❤️‍👨	情侣 恋爱 爱情 相爱 谈恋爱
U+1F468-200D-2764-FE0F-200D-1F468	👨‍❤️‍👨	情侣 同性恋 玻璃 男同 男同性恋
U+1F469-200D-2764-FE0F-200D-1F469	👩‍❤️‍👩	情侣 同性恋 女同 女同性恋 拉拉
U+1F468-200D-1F469-200D-1F466	👨‍👩‍👦	家庭 一家三口 一家人 三口之家
U+1F468-200D-1F469-200D-1F467	👨‍👩‍👧	家庭 一家三口 一家人 三口之家
U+1F468-200D-1F469-200D-1F467-200D-1F466	👨‍👩‍👧‍👦	家庭 一家人 一家四口 四口之家
U+1F468-200D-1F469-200D-1F466-200D-1F466	👨‍👩‍👦‍👦	家庭 一家人 一家四口 四口之家
U+1F468-200D-1F469-200D-1F467-200D-1F467	👨‍👩‍👧‍👧	家庭 一家人 一家四口 四口之家
U+1F468-200D-1F468-200D-1F466	👨‍👨‍👦	家庭
U+1F468-200D-1F468-200D-1F467	👨‍👨‍👧	家庭
U+1F468-200D-1F468-200D-1F467-200D-1F466	👨‍👨‍👧‍👦	家庭
U+1F468-200D-1F468-200D-1F466-200D-1F466	👨‍👨‍👦‍👦	家庭
U+1F468-200D-1F468-200D-1F467-200D-1F467	👨‍👨‍👧‍👧	家庭
U+1F469-200D-1F469-200D-1F466	👩‍👩‍👦	家庭
U+1F469-200D-1F469-200D-1F467	👩‍👩‍👧	家庭
U+1F469-200D-1F469-200D-1F467-200D-1F466	👩‍👩‍👧‍👦	家庭
U+1F469-200D-1F469-200D-1F466-200D-1F466	👩‍👩‍👦‍👦	家庭
U+1F469-200D-1F469-200D-1F467-200D-1F467	👩‍👩‍👧‍👧	家庭
U+1F468-200D-1F466	👨‍👦	家庭 父子
U+1F468-200D-1F466-200D-1F466	👨‍👦‍👦	家庭
U+1F468-200D-1F467	👨‍👧	家庭 父女
U+1F468-200D-1F467-200D-1F466	👨‍👧‍👦	家庭
U+1F468-200D-1F467-200D-1F467	👨‍👧‍👧	家庭
U+1F469-200D-1F466	👩‍👦	家庭 母子
U+1F469-200D-1F466-200D-1F466	👩‍👦‍👦	家庭
U+1F469-200D-1F467	👩‍👧	家庭 母女
U+1F469-200D-1F467-200D-1F466	👩‍👧‍👦	家庭
U+1F469-200D-1F467-200D-1F467	👩‍👧‍👧	家庭
U+1F5E3	🗣	说话 剪影 头部剪影 讲话 讲话者 讲话者的头部剪影
U+1F464	👤	人像 人物剪影 半身像 头像
U+1F465	👥	双人像 人像 剪影 半身像 双人
U+1FAC2	🫂	人的拥抱 拥抱 剪影 抱在一起 抱抱 拥抱的人
U+1F46A	👪	家庭 家人
U+1F9D1-200D-1F9D1-200D-1F9D2	🧑‍🧑‍🧒	一孩家庭 家庭
U+1F9D1-200D-1F9D1-200D-1F9D2-200D-1F9D2	🧑‍🧑‍🧒‍🧒	二孩家庭 家庭
U+1F9D1-200D-1F9D2	🧑‍🧒	单亲一孩家庭 家庭
U+1F9D1-200D-1F9D2-200D-1F9D2	🧑‍🧒‍🧒	单亲二孩家庭 家庭
U+1F463	👣	脚印 足迹
U+1FAC6	🫆	指纹
U+1F3FB	🏻	较浅肤色 肤色
U+1F3FC	🏼	中等浅肤色 肤色 较浅肤色
U+1F3FD	🏽	中等肤色 肤色
U+1F3FE	🏾	中等深肤色 肤色 较深肤色
U+1F3FF	🏿	较深肤色 肤色
U+1F9B0	🦰	红发 头发 红头发 红色头发 赤发
U+1F9B1	🦱	卷发 头发
U+1F9B3	🦳	白发 头发 年老 灰色
U+1F9B2	🦲	秃顶 头发 光头 化疗 头秃 秃头 脱发
U+1F435	🐵	猴头 猴子 猴 猴脸
U+1F412	🐒	猴子 猴 马骝
U+1F98D	🦍	大猩猩 猩猩
U+1F9A7	🦧	红毛猩猩 猩猩 人猿
U+1F436	🐶	狗脸 小狗 狗 旺柴 旺财 狗仔 狗头
U+1F415	🐕	狗 小狗 犬 狗子 狗狗
U+1F9AE	🦮	导盲犬 小狗 狗 指引 金毛 金毛寻回犬 金毛犬
U+1F415-200D-1F9BA	🐕‍🦺	服务犬 小狗 狗 工作犬
U+1F429	🐩	贵宾犬 小狗 狗 卷毛狗
U+1F43A	🐺	狼 狼头 狼脸
U+1F98A	🦊	狐狸 狐狸偷 狐狸脸
U+1F99D	🦝	浣熊 好奇 小浣熊 干脆面 干脆面君 淘气
U+1F431	🐱	猫脸 喵 喵喵 喵喵叫 喵喵喵 小猫 小猫咪 猫头
U+1F408	🐈	猫 小猫 小猫咪 橘猫
U+1F408-200D-2B1B	🐈‍⬛	黑猫 猫 小黑猫
U+1F981	🦁	狮子 狮 狮头 狮子头 狮子脸 狮脸
U+1F42F	🐯	老虎头 老虎 老虎脸
U+1F405	🐅	老虎
U+1F406	🐆	豹子 猎豹
U+1F434	🐴	马头 马 马儿 马脸
U+1FACE	🫎	驼鹿 鹿 马鹿 驼鹿头 驼鹿脸 鹿角
U+1FACF	🫏	驴 小驴 驴儿
U+1F40E	🐎	马 小马 马儿 骏马
U+1F984	🦄	独角兽 独角兽头 独角兽脸
U+1F993	🦓	斑马 条纹
U+1F98C	🦌	鹿 麋鹿
U+1F9AC	🦬	大野牛
U+1F42E	🐮	奶牛头 奶牛 小牛 牛牛 牛脸
U+1F402	🐂	公牛
U+1F403	🐃	水牛
U+1F404	🐄	奶牛
U+1F437	🐷	猪头 猪 小猪 懒猪 猪猪 猪脸
U+1F416	🐖	猪 猪猪
U+1F417	🐗	野猪
U+1F43D	🐽	猪鼻子 猪鼻
U+1F40F	🐏	公羊
U+1F411	🐑	母羊 小羊 绵羊 羊羊
U+1F410	🐐	山羊
U+1F42A	🐪	骆驼 单峰骆驼
U+1F42B	🐫	双峰骆驼 骆驼 双峰
U+1F999	🦙	美洲鸵 骆驼 羊毛 羊驼 草泥马
U+1F992	🦒	长颈鹿 斑点 麒麟鹿
U+1F418	🐘	大象
U+1F9A3	🦣	猛犸 猛犸象 长毛象
U+1F98F	🦏	犀牛
U+1F99B	🦛	河马
U+1F42D	🐭	老鼠头 老鼠 耗子 老鼠脸
U+1F401	🐁	老鼠 耗子 小白鼠 小老鼠
U+1F400	🐀	耗子 老鼠
U+1F439	🐹	仓鼠 仓鼠头 仓鼠脸
U+1F430	🐰	兔子头 兔子 兔 兔头 兔子脸 兔脸
U+1F407	🐇	兔子 大白兔 小兔子 小白兔
U+1F43F	🐿	松鼠 花栗鼠
U+1F9AB	🦫	海狸 河狸
U+1F994	🦔	刺猬
U+1F987	🦇	蝙蝠 吸血鬼 蟙䘃
U+1F43B	🐻	熊 小熊 熊头 熊脸
U+1F43B-200D-2744-FE0F	🐻‍❄️	北极熊 北极熊头 北极熊脸
U+1F428	🐨	考拉 无尾熊 树袋熊
U+1F43C	🐼	熊猫 大熊猫 国宝 熊猫人 熊猫头 熊猫脸 猫熊 胖达
U+1F9A5	🦥	树懒 慢吞吞 树懒先生 迟缓
U+1F9A6	🦦	水獭 动物 海獭
U+1F9A8	🦨	臭鼬
U+1F998	🦘	袋鼠
U+1F9A1	🦡	獾 蜜獾
U+1F43E	🐾	爪印 爪子 动物脚印 掌印 足迹
U+1F983	🦃	火鸡
